player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,team,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href,season
15,Missy Segall,F,0,0,0,0,0,0,0,0,0,1 - 0,1,0,0,1,1,1,0,Buffalo Beauts,stats#/player/821791,821791,420369,,,,,,,2022
17,Cassidy MacPherson,F,0,0,0,2,-3,2,1,0,0,13 - 7,0.65,0,0,3,1,13,7,Buffalo Beauts,stats#/player/431630,431630,420369,,,,,,,2022
18,Elena Orlando,D,0,0,0,0,0,0,1,0,0,0 - 0,0,0,0,0,0,0,0,Buffalo Beauts,stats#/player/909127,909127,420369,,,,,,,2022
21,Emma Keenan,D,0,0,0,4,-3,1,1,0,0,0 - 0,0,0,0,3,2,0,0,Buffalo Beauts,stats#/player/788423,788423,420369,,,,,,,2022
22,Emilie Harley,F/D,0,0,0,0,-1,1,1,0,0,0 - 0,0,0,0,1,0,0,0,Buffalo Beauts,stats#/player/810693,810693,420369,,,,,,,2022
24,Anjelica Diffendal,F,0,0,0,0,-1,1,0,0,0,0 - 0,0,0,0,1,0,0,0,Buffalo Beauts,stats#/player/811831,811831,420369,,,,,,,2022
34,Claudia Kepler,F,0,0,0,2,-2,3,0,0,1,0 - 0,0,0,0,4,1,0,0,Buffalo Beauts,stats#/player/1020524,1020524,420369,,,,,,,2022
44,Jenna Suokko,F,0,0,0,0,-1,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Buffalo Beauts,stats#/player/828439,828439,420369,,,,,,,2022
81,Erin Gehen,F,0,0,0,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,Buffalo Beauts,stats#/player/466337,466337,420369,,,,,,,2022
94,Grace Klienbach,F,0,0,0,0,0,1,0,1,0,2 - 4,0.333,0,0,1,0,2,4,Buffalo Beauts,stats#/player/827706,827706,420369,,,,,,,2022
97,Cassidy Vinkle,F,0,0,0,0,-1,5,0,0,1,14 - 6,0.7,0,0,6,1,14,6,Buffalo Beauts,stats#/player/786040,786040,420369,,,,,,,2022
3,Jonna Curtis,F,2,2,4,0,3,7,2,0,0,0 - 4,0,0,1,7,0,0,4,Minnesota Whitecaps,stats#/player/431666,431666,420369,,,,,,,2022
8,Taylor Turnquist,D,0,3,3,0,5,0,1,0,0,0 - 0,0,0,0,1,1,0,0,Minnesota Whitecaps,stats#/player/949959,949959,420369,,,,,,,2022
9,Allie Thunstrom,F,2,1,3,0,4,2,2,0,1,0 - 0,0,1,0,2,0,0,0,Minnesota Whitecaps,stats#/player/431677,431677,420369,,,,,,,2022
