player_jersey,player_name,position,goals,assists,points,penalty_minutes,plus_minus,shots_on_goal,blocks,giveaways,takeaways,faceoffs_won_lost,faceoffs_win_pct,powerplay_goals,shorthanded_goals,shots,shots_blocked,faceoffs_won,faceoffs_lost,skaters_href,player_id,game_id,minutes_played,shots_against,goals_against,saves,save_percent,goalies_href
22,Kacey Bellamy,D,0,1,1,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/58128,58128,40891,,,,,,
2,Alyssa Gagliardi,D,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/58115,58115,40891,,,,,,
3,Jillian Dempsey,F,0,0,0,0,0,4,0,0,0,7 - 8,0.467,0,0,4,0,7,8,stats#/player/58116,58116,40891,,,,,,
5,Kelly Cooke,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/58117,58117,40891,,,,,,
10,Blake Bolden,D,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/58119,58119,40891,,,,,,
14,Brianna Decker,F,0,0,0,2,0,6,0,0,0,14 - 13,0.519,0,0,6,0,14,13,stats#/player/58122,58122,40891,,,,,,
15,Emily Field,F,0,0,0,0,0,1,0,0,0,0 - 1,0,0,0,1,0,0,1,stats#/player/58123,58123,40891,,,,,,
23,Corinne Buie,F,0,0,0,4,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/58129,58129,40891,,,,,,
44,Zoe Hickel,F,0,0,0,0,0,4,0,0,0,0 - 0,0,0,0,4,0,0,0,stats#/player/463308,463308,40891,,,,,,
91,Rachel Llanes,F,0,0,0,0,0,1,0,0,0,9 - 10,0.474,0,0,1,0,9,10,stats#/player/58135,58135,40891,,,,,,
44,Tara Tomimoto,D,1,0,1,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/57728,57728,40891,,,,,,
61,Kelli Stack,F,0,1,1,2,0,2,0,0,0,17 - 9,0.654,0,0,2,0,17,9,stats#/player/57760,57760,40891,,,,,,
88,Alyssa Wohlfeiler,F/D,0,1,1,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57768,57768,40891,,,,,,
5,Kate Buesser,F,0,0,0,0,0,1,0,0,0,7 - 6,0.539,0,0,1,0,7,6,stats#/player/64987,64987,40891,,,,,,
6,Shannon Turner,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/967608,967608,40891,,,,,,
8,Kelly Babstock,F,0,0,0,0,0,4,0,0,0,1 - 3,0.25,0,0,4,0,1,3,stats#/player/699761,699761,40891,,,,,,
9,Molly Engstrom,D,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/57733,57733,40891,,,,,,
13,Kaleigh Fratkin,D,0,0,0,2,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/57735,57735,40891,,,,,,
16,Micaela Long,F,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57736,57736,40891,,,,,,
17,Yekaterina Smolentseva,F,0,0,0,0,0,2,0,0,0,0 - 1,0,0,0,2,0,0,1,stats#/player/57737,57737,40891,,,,,,
19,Brittany Dougherty,F,0,0,0,0,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/57742,57742,40891,,,,,,
22,Danielle Ward,F,0,0,0,0,0,2,0,0,0,9 - 10,0.474,0,0,2,0,9,10,stats#/player/57743,57743,40891,,,,,,
26,Jordan Brickner,D,0,0,0,0,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57751,57751,40891,,,,,,
27,Shiann Darkangelo,F,0,0,0,0,0,2,0,0,0,0 - 1,0,0,0,2,0,0,1,stats#/player/542419,542419,40891,,,,,,
56,Jessica Koizumi,F,0,0,0,2,0,2,0,0,0,1 - 2,0.333,0,0,2,0,1,2,stats#/player/57757,57757,40891,,,,,,
1,Kelsie Fralick,G,0,0,,0,,,,,,,,,,,,,,,58114,40891,00:00,0,0,0,0,stats#/player/58114
29,Brittany Ott,G,0,1,,0,,,,,,,,,,,,,,,58131,40891,60:00,27,1,26,0.963,stats#/player/58131
24,Nicole Stock,G,0,0,,0,,,,,,,,,,,,,,,57750,40891,00:00,0,0,0,0,stats#/player/57750
32,Jaimie Leonoff,G,0,0,,0,,,,,,,,,,,,,,,57754,40891,60:00,49,4,45,0.918,stats#/player/57754
78,Chelsea Laden,G,0,0,,0,,,,,,,,,,,,,,,57761,40891,00:00,0,0,0,0,stats#/player/57761
17,Yekaterina Smolentseva,F,2,1,3,2,0,3,0,0,0,0 - 0,0,0,0,3,0,0,0,stats#/player/57737,57737,40885,,,,,,
13,Kaleigh Fratkin,D,0,2,2,2,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57735,57735,40885,,,,,,
16,Micaela Long,F,0,2,2,2,0,0,0,0,0,0 - 0,0,0,0,0,0,0,0,stats#/player/57736,57736,40885,,,,,,
22,Danielle Ward,F,1,1,2,0,0,1,0,0,0,4 - 6,0.4,0,0,1,0,4,6,stats#/player/57743,57743,40885,,,,,,
61,Kelli Stack,F,2,0,2,4,0,10,0,0,0,24 - 6,0.8,1,1,10,0,24,6,stats#/player/57760,57760,40885,,,,,,
8,Kelly Babstock,F,0,1,1,0,0,12,0,0,0,5 - 4,0.556,0,0,12,0,5,4,stats#/player/699761,699761,40885,,,,,,
5,Kate Buesser,F,0,0,0,0,0,2,0,0,0,4 - 12,0.25,0,0,2,0,4,12,stats#/player/64987,64987,40885,,,,,,
6,Shannon Turner,D,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/967608,967608,40885,,,,,,
9,Molly Engstrom,D,0,0,0,0,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57733,57733,40885,,,,,,
19,Brittany Dougherty,F,0,0,0,0,0,2,0,0,0,0 - 0,0,0,0,2,0,0,0,stats#/player/57742,57742,40885,,,,,,
26,Jordan Brickner,D,0,0,0,2,0,1,0,0,0,0 - 0,0,0,0,1,0,0,0,stats#/player/57751,57751,40885,,,,,,
