"team","game_id","winner","total_scoring","first_scoring","second_scoring","third_scoring","overtime_scoring","shootout_scoring","total_shots","first_shots","second_shots","third_shots","overtime_shots","shootout_shots","blocked_opponent_shots","successful_power_play","power_play_opportunities","power_play_percent","faceoff_percent","penalty_minutes","takeaways","giveaways","date"
"nyr",63623,"No",4,1,2,1,NA,NA,0,NA,NA,NA,NA,NA,0,4,8,0.5,0,16,0,0,2016-03-05
"bos",63623,"Yes",7,3,3,1,NA,NA,0,NA,NA,NA,NA,NA,0,2,8,0.25,0,14,0,0,2016-03-05
"buf",63627,"Yes",4,1,1,2,NA,NA,28,12,11,5,NA,NA,0,1,5,0.2,0,12,0,0,2016-03-06
"ctw",63627,"No",3,1,0,2,NA,NA,27,8,10,9,NA,NA,0,1,6,0.167,0,10,0,0,2016-03-06
"buf",63836,"No",3,0,1,2,0,NA,20,5,5,10,0,NA,0,1,4,0.25,0,8,0,0,2016-03-11
"bos",63836,"Yes",4,0,2,1,1,NA,34,9,8,10,7,NA,0,1,4,0.25,0,8,0,0,2016-03-11
"bos",63996,"Yes",3,1,0,2,NA,NA,0,NA,NA,NA,NA,NA,0,0,2,0,0,10,0,0,2016-03-12
"buf",63996,"No",1,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,0,1,5,0.2,0,4,0,0,2016-03-12
"bos",274593,"Yes",4,0,4,0,NA,NA,37,11,15,11,NA,NA,0,0,0,0,0,6,0,0,2016-10-07
"buf",274593,"No",1,0,0,1,NA,NA,21,7,7,7,NA,NA,0,0,0,0,0,10,0,0,2016-10-07
"met",274594,"No",3,1,1,1,NA,NA,3,1,1,1,NA,NA,0,0,0,0,0,10,0,0,2016-10-08
"bos",274594,"Yes",6,1,4,1,NA,NA,6,1,4,1,NA,NA,0,0,0,0,0,12,0,0,2016-10-08
"ctw",274595,"No",4,1,3,0,NA,NA,24,10,8,6,NA,NA,0,0,0,0,0,8,0,0,2016-10-09
"buf",274595,"Yes",5,1,1,3,NA,NA,32,10,13,9,NA,NA,0,0,0,0,0,10,0,0,2016-10-09
"buf",274596,"No",1,0,0,1,NA,NA,1,0,0,1,NA,NA,0,0,0,0,0,4,0,0,2016-10-15
"bos",274596,"Yes",2,0,1,0,NA,NA,1,0,1,0,NA,NA,0,0,0,0,0,4,0,0,2016-10-15
"ctw",274597,"Yes",4,2,2,0,NA,NA,39,7,19,13,NA,NA,0,0,0,0,0,8,0,0,2016-10-16
"met",274597,"No",2,2,0,0,NA,NA,40,10,19,11,NA,NA,0,0,0,0,0,8,0,0,2016-10-16
"met",274598,"No",1,1,0,0,NA,NA,31,13,9,9,NA,NA,0,0,0,0,0,2,0,0,2016-10-22
"bos",274598,"Yes",5,0,3,2,NA,NA,21,3,10,8,NA,NA,0,0,0,0,0,6,0,0,2016-10-22
"ctw",274599,"Yes",7,5,0,2,NA,NA,35,15,9,11,NA,NA,0,0,0,0,0,8,0,0,2016-10-23
"buf",274599,"No",5,1,2,2,NA,NA,28,15,6,7,NA,NA,0,0,0,0,0,4,0,0,2016-10-23
"met",274601,"Yes",3,1,0,2,NA,NA,30,10,7,13,NA,NA,0,0,0,0,0,8,0,0,2016-11-12
"buf",274601,"No",2,2,0,0,NA,NA,21,6,4,11,NA,NA,0,0,0,0,0,6,0,0,2016-11-12
"ctw",274600,"No",0,0,0,0,NA,NA,29,13,7,9,NA,NA,0,0,0,0,0,8,0,0,2016-11-12
"bos",274600,"Yes",3,1,0,2,NA,NA,29,6,12,11,NA,NA,0,0,0,0,0,6,0,0,2016-11-12
"met",274602,"No",3,1,1,1,0,NA,42,13,15,9,5,NA,0,0,0,0,0,10,0,0,2016-11-13
"buf",274602,"Yes",4,0,2,1,0,NA,28,7,8,13,0,NA,0,0,0,0,0,8,0,0,2016-11-13
"bos",274603,"Yes",5,1,2,2,NA,NA,29,5,9,15,NA,NA,0,0,0,0,0,8,0,0,2016-11-20
"buf",274603,"No",0,0,0,0,NA,NA,46,20,16,10,NA,NA,0,0,0,0,0,8,0,0,2016-11-20
"ctw",274604,"No",0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,6,0,0,2016-11-20
"met",274604,"Yes",4,1,2,1,NA,NA,4,1,2,1,NA,NA,0,0,0,0,0,6,0,0,2016-11-20
"buf",274606,"Yes",5,2,1,2,NA,NA,33,11,11,11,NA,NA,0,0,0,0,0,10,0,0,2016-12-03
"met",274606,"No",3,1,1,1,NA,NA,37,16,14,7,NA,NA,0,0,0,0,0,8,0,0,2016-12-03
"ctw",274605,"No",2,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,4,0,0,2016-12-03
"bos",274605,"Yes",5,0,3,2,NA,NA,5,0,3,2,NA,NA,0,0,0,0,0,6,0,0,2016-12-03
"bos",274607,"Yes",3,2,0,0,0,NA,30,11,10,8,1,NA,0,0,0,0,0,12,0,0,2016-12-04
"met",274607,"No",2,1,1,0,0,NA,37,14,8,10,5,NA,0,0,0,0,0,6,0,0,2016-12-04
"buf",274608,"No",1,0,1,0,NA,NA,43,20,8,15,NA,NA,0,0,0,0,0,12,0,0,2016-12-10
"ctw",274608,"Yes",6,2,2,2,NA,NA,27,4,16,7,NA,NA,0,0,0,0,0,12,0,0,2016-12-10
"ctw",274609,"Yes",4,1,1,2,NA,NA,29,9,9,11,NA,NA,0,0,0,0,0,10,0,0,2016-12-11
"met",274609,"No",2,0,2,0,NA,NA,26,8,12,6,NA,NA,0,0,0,0,0,2,0,0,2016-12-11
"met",274610,"Yes",2,1,0,1,NA,NA,29,12,6,11,NA,NA,0,0,0,0,0,7,0,0,2016-12-18
"ctw",274610,"No",0,0,0,0,NA,NA,18,6,7,5,NA,NA,0,0,0,0,0,6,0,0,2016-12-18
"buf",274611,"Yes",6,2,1,3,NA,NA,71,17,18,36,NA,NA,0,0,0,0,0,10,0,0,2017-01-07
"ctw",274611,"No",5,0,3,2,NA,NA,38,12,13,13,NA,NA,0,0,0,0,0,8,0,0,2017-01-07
"met",274612,"Yes",3,2,1,0,NA,NA,36,11,6,19,NA,NA,0,0,0,0,0,10,0,0,2017-01-14
"buf",274612,"No",0,0,0,0,NA,NA,33,15,15,3,NA,NA,0,0,0,0,0,12,0,0,2017-01-14
"bos",274613,"Yes",4,1,1,2,NA,NA,41,20,10,11,NA,NA,0,0,0,0,0,8,0,0,2017-01-15
"ctw",274613,"No",0,0,0,0,NA,NA,35,11,11,13,NA,NA,0,0,0,0,0,6,0,0,2017-01-15
"bos",274614,"Yes",2,0,1,1,NA,NA,24,13,5,6,NA,NA,0,0,0,0,0,14,0,0,2017-01-21
"met",274614,"No",1,0,0,1,NA,NA,32,7,9,16,NA,NA,0,0,0,0,0,8,0,0,2017-01-21
"bos",274615,"Yes",8,2,4,2,NA,NA,43,12,14,17,NA,NA,0,0,0,0,0,10,0,0,2017-01-27
"ctw",274615,"No",4,0,0,4,NA,NA,39,14,13,12,NA,NA,0,0,0,0,0,16,0,0,2017-01-27
"met",274616,"No",3,1,2,0,0,NA,38,14,12,10,2,NA,0,0,0,0,0,12,0,0,2017-01-27
"buf",274616,"Yes",4,1,1,1,0,NA,51,11,24,13,3,NA,0,0,0,0,0,10,0,0,2017-01-27
"met",274617,"Yes",8,2,4,2,NA,NA,37,21,6,10,NA,NA,0,0,0,0,0,6,0,0,2017-01-29
"ctw",274617,"No",6,4,0,2,NA,NA,29,12,10,7,NA,NA,0,0,0,0,0,6,0,0,2017-01-29
"buf",274618,"No",2,0,2,0,NA,NA,2,0,2,0,NA,NA,0,0,0,0,0,6,0,0,2017-02-04
"met",274618,"Yes",3,2,1,0,NA,NA,3,2,1,0,NA,NA,0,0,0,0,0,4,0,0,2017-02-04
"ctw",274619,"No",2,1,1,0,NA,NA,40,12,16,12,NA,NA,0,0,0,0,0,10,0,0,2017-02-04
"bos",274619,"Yes",5,1,0,4,NA,NA,27,13,5,9,NA,NA,0,0,0,0,0,10,0,0,2017-02-04
"buf",274620,"No",1,1,0,0,NA,NA,44,13,17,14,NA,NA,0,0,0,0,0,8,0,0,2017-02-18
"bos",274620,"Yes",3,1,1,1,NA,NA,27,4,13,10,NA,NA,0,0,0,0,0,8,0,0,2017-02-18
"ctw",274621,"No",5,4,1,0,0,NA,39,17,9,9,4,NA,0,0,0,0,0,16,0,0,2017-02-19
"met",274621,"Yes",6,1,1,3,1,NA,29,10,9,9,1,NA,0,0,0,0,0,6,0,0,2017-02-19
"bos",274622,"Yes",5,1,4,0,NA,NA,27,10,12,5,NA,NA,0,0,0,0,0,14,0,0,2017-02-24
"ctw",274622,"No",4,3,1,0,NA,NA,54,19,19,16,NA,NA,0,0,0,0,0,14,0,0,2017-02-24
"ctw",274623,"Yes",4,1,1,2,NA,NA,29,12,8,9,NA,NA,0,0,0,0,0,8,0,0,2017-02-26
"buf",274623,"No",2,0,1,1,NA,NA,39,9,13,17,NA,NA,0,0,0,0,0,4,0,0,2017-02-26
"met",274624,"No",3,2,1,0,NA,NA,23,5,7,11,NA,NA,0,0,0,0,0,10,0,0,2017-03-04
"bos",274624,"Yes",4,0,1,3,NA,NA,26,9,6,11,NA,NA,0,0,0,0,0,8,0,0,2017-03-04
"buf",274625,"No",1,0,1,0,NA,NA,40,14,13,13,NA,NA,0,0,0,0,0,2,0,0,2017-03-05
"bos",274625,"Yes",7,2,3,2,NA,NA,32,6,11,15,NA,NA,0,0,0,0,0,8,0,0,2017-03-05
"buf",274626,"Yes",4,1,2,1,NA,NA,4,1,2,1,NA,NA,0,0,0,0,0,10,0,0,2017-03-12
"ctw",274626,"No",3,1,0,2,NA,NA,3,1,0,2,NA,NA,0,0,0,0,0,10,0,0,2017-03-12
"bos",274627,"No",2,0,1,1,NA,NA,22,5,8,9,NA,NA,0,0,0,0,0,4,0,0,2017-03-12
"met",274627,"Yes",3,0,2,1,NA,NA,49,14,14,21,NA,NA,0,0,0,0,0,8,0,0,2017-03-12
"ctw",274756,"No",2,0,1,1,NA,NA,37,13,14,10,NA,NA,0,0,0,0,0,8,0,0,2017-03-16
"bos",274756,"Yes",8,2,3,3,NA,NA,34,11,13,10,NA,NA,0,0,0,0,0,4,0,0,2017-03-16
"buf",274758,"Yes",4,1,2,1,NA,NA,40,12,13,15,NA,NA,0,0,0,0,0,14,0,0,2017-03-17
"met",274758,"No",2,0,1,1,NA,NA,14,3,7,4,NA,NA,0,0,0,0,0,4,0,0,2017-03-17
"buf",274757,"Yes",3,2,1,0,NA,NA,65,17,24,24,NA,NA,0,0,0,0,0,8,0,0,2017-03-19
"bos",274757,"No",2,0,0,2,NA,NA,16,11,3,2,NA,NA,0,0,0,0,0,4,0,0,2017-03-19
"bos",274670,"No",1,0,0,1,NA,NA,1,0,0,1,NA,NA,0,0,0,0,0,2,0,0,2017-10-28
"met",274670,"Yes",4,2,1,1,NA,NA,4,2,1,1,NA,NA,0,0,0,0,0,4,0,0,2017-10-28
"buf",274671,"Yes",3,1,1,1,NA,NA,25,6,10,9,NA,NA,0,0,0,0,0,6,0,0,2017-10-28
"ctw",274671,"No",2,0,0,2,NA,NA,39,10,13,16,NA,NA,0,0,0,0,0,16,0,0,2017-10-28
"ctw",274672,"Yes",2,0,1,1,NA,NA,31,15,8,8,NA,NA,0,0,0,0,0,6,0,0,2017-11-04
"bos",274672,"No",1,1,0,0,NA,NA,26,10,8,8,NA,NA,0,0,0,0,0,7,0,0,2017-11-04
"met",274673,"Yes",6,1,3,2,NA,NA,24,7,7,10,NA,NA,0,0,0,0,0,20,0,0,2017-11-04
"buf",274673,"No",2,1,0,1,NA,NA,39,6,18,15,NA,NA,0,0,0,0,0,44,0,0,2017-11-04
"met",274674,"Yes",5,1,3,1,NA,NA,33,8,14,11,NA,NA,0,0,0,0,0,4,0,0,2017-11-11
"ctw",274674,"No",1,1,0,0,NA,NA,31,12,7,12,NA,NA,0,0,0,0,0,12,0,0,2017-11-11
"bos",274675,"No",3,0,0,3,NA,NA,3,0,0,3,NA,NA,0,0,0,0,0,8,0,0,2017-11-11
"buf",274675,"Yes",5,1,3,1,NA,NA,5,1,3,1,NA,NA,0,0,0,0,0,4,0,0,2017-11-11
"met",274676,"No",3,2,1,3,NA,NA,27,10,8,9,NA,NA,0,0,0,0,0,4,0,0,2017-11-18
"buf",274676,"Yes",6,2,1,0,NA,NA,40,15,13,12,NA,NA,0,0,0,0,0,4,0,0,2017-11-18
"bos",274677,"No",3,1,0,2,NA,NA,3,1,0,2,NA,NA,0,0,0,0,0,8,0,0,2017-11-19
"ctw",274677,"Yes",4,0,1,2,NA,NA,3,0,1,2,NA,NA,0,0,0,0,0,14,0,0,2017-11-19
"buf",274678,"No",2,1,1,0,NA,NA,38,20,11,7,NA,NA,0,0,0,0,0,8,0,0,2017-12-02
"bos",274678,"Yes",3,0,3,0,NA,NA,32,11,16,5,NA,NA,0,0,0,0,0,8,0,0,2017-12-02
"ctw",274679,"No",0,0,0,0,NA,NA,25,11,6,8,NA,NA,0,0,0,0,0,4,0,0,2017-12-03
"met",274679,"Yes",4,2,1,1,NA,NA,29,4,14,11,NA,NA,0,0,0,0,0,2,0,0,2017-12-03
"bos",274680,"Yes",5,2,1,2,NA,NA,24,10,6,8,NA,NA,0,0,0,0,0,6,0,0,2017-12-10
"ctw",274680,"No",1,0,0,1,NA,NA,29,7,13,9,NA,NA,0,0,0,0,0,0,0,0,2017-12-10
"buf",274681,"No",2,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,8,0,0,2017-12-10
"met",274681,"Yes",4,1,0,3,NA,NA,4,1,0,3,NA,NA,0,0,0,0,0,8,0,0,2017-12-10
"ctw",274682,"No",1,0,0,1,NA,NA,1,0,0,1,NA,NA,0,0,0,0,0,4,0,0,2017-12-16
"buf",274682,"Yes",3,0,2,1,NA,NA,3,0,2,1,NA,NA,0,0,0,0,0,8,0,0,2017-12-16
"met",274683,"Yes",4,2,1,1,NA,NA,26,7,10,9,NA,NA,0,0,0,0,0,6,0,0,2017-12-16
"bos",274683,"No",2,0,1,1,NA,NA,38,18,9,11,NA,NA,0,0,0,0,0,16,0,0,2017-12-16
"bos",274684,"No",2,0,1,1,0,NA,44,14,13,15,2,NA,0,0,0,0,0,8,0,0,2018-01-06
"buf",274684,"Yes",3,1,1,0,1,NA,26,8,13,4,1,NA,0,0,0,0,0,0,0,0,2018-01-06
"ctw",274685,"No",1,0,1,0,NA,NA,40,16,11,13,NA,NA,0,0,0,0,0,10,0,0,2018-01-07
"met",274685,"Yes",6,1,1,4,NA,NA,35,6,14,15,NA,NA,0,0,0,0,0,8,0,0,2018-01-07
"buf",274686,"Yes",4,2,0,2,NA,NA,4,2,0,2,NA,NA,0,0,0,0,0,8,0,0,2018-01-14
"ctw",274686,"No",3,1,0,2,NA,NA,3,1,0,2,NA,NA,0,0,0,0,0,14,0,0,2018-01-14
"ctw",274687,"No",1,0,1,0,0,NA,32,10,13,8,1,NA,0,0,0,0,0,6,0,0,2018-01-20
"buf",274687,"Yes",2,0,1,0,0,NA,33,10,7,8,8,NA,0,0,0,0,0,4,0,0,2018-01-20
"met",274688,"Yes",5,1,2,2,NA,NA,28,4,12,12,NA,NA,0,0,0,0,0,12,0,0,2018-01-20
"bos",274688,"No",1,0,1,0,NA,NA,22,7,7,8,NA,NA,0,0,0,0,0,8,0,0,2018-01-20
"bos",274689,"No",1,0,0,1,NA,NA,29,10,13,6,NA,NA,0,0,0,0,0,10,0,0,2018-01-21
"met",274689,"Yes",2,0,2,0,NA,NA,22,6,10,6,NA,NA,0,0,0,0,0,10,0,0,2018-01-21
"bos",274690,"No",0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,8,0,0,2018-01-27
"buf",274690,"Yes",1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,4,0,0,2018-01-27
"met",274691,"Yes",3,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,10,0,0,2018-01-27
"ctw",274691,"No",2,2,0,0,NA,NA,2,2,0,0,NA,NA,0,0,0,0,0,8,0,0,2018-01-27
"ctw",274692,"Yes",3,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,6,0,0,2018-02-02
"bos",274692,"No",2,1,1,0,NA,NA,2,1,1,0,NA,NA,0,0,0,0,0,18,0,0,2018-02-02
"met",274693,"No",3,1,0,1,NA,NA,29,9,9,11,NA,NA,0,0,0,0,0,8,0,0,2018-02-03
"buf",274693,"Yes",5,1,1,3,NA,NA,38,10,13,15,NA,NA,0,0,0,0,0,12,0,0,2018-02-03
"ctw",274694,"No",2,1,0,1,NA,NA,26,7,9,10,NA,NA,0,0,0,0,0,18,0,0,2018-02-18
"met",274694,"Yes",4,1,1,2,NA,NA,29,10,5,14,NA,NA,0,0,0,0,0,12,0,0,2018-02-18
"buf",274695,"Yes",6,4,1,1,NA,NA,28,9,16,3,NA,NA,0,0,0,0,0,8,0,0,2018-02-18
"bos",274695,"No",2,0,2,0,NA,NA,27,8,10,9,NA,NA,0,0,0,0,0,8,0,0,2018-02-18
"bos",274696,"Yes",3,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,16,0,0,2018-02-25
"ctw",274696,"No",0,0,1,2,NA,NA,3,0,1,2,NA,NA,0,0,0,0,0,12,0,0,2018-02-25
"buf",274697,"Yes",4,0,1,3,NA,NA,4,0,1,3,NA,NA,0,0,0,0,0,16,0,0,2018-02-25
