team,game_id,winner,total_scoring,successful_power_play,power_play_opportunities,power_play_percent,penalty_minutes,faceoff_percent,blocked_opponent_shots,takeaways,giveaways,period_1_shots,period_2_shots,period_3_shots,overtime_shots,shootout_made_shots,shootout_missed_shots,total_shots,period_1_scoring,period_2_scoring,period_3_scoring,overtime_scoring,shootout_made_scoring,shootout_missed_scoring,season
buf,40893,FALSE,3,0,4,0,12,0,0,0,0,11,13,8,6,,,38,0,2,1,0,1,2,2016
nyr,40893,TRUE,4,1,6,0.167,8,0,0,0,0,6,4,15,1,,,27,1,0,2,0,2,1,2016
buf,40886,FALSE,2,0,7,0,8,0,0,0,0,2,6,14,3,,,25,0,2,0,0,,,2016
ctw,40886,TRUE,3,1,4,0.25,14,0,0,0,0,10,11,10,3,,,34,1,1,0,1,,,2016
bos,40889,TRUE,6,1,5,0.2,20,0,0,0,0,11,13,11,,,,35,3,1,2,,,,2016
nyr,40889,FALSE,1,1,10,0.1,10,0,0,0,0,8,12,4,,,,24,1,0,0,,,,2016
bos,40888,TRUE,5,0,3,0,12,0,0,0,0,19,30,10,,,,59,0,4,1,,,,2016
ctw,40888,FALSE,2,1,6,0.167,6,0,0,0,0,7,9,7,,,,23,0,1,1,,,,2016
nyr,40890,FALSE,2,0,5,0,14,0,0,0,0,,1,1,,,,2,0,1,1,,,,2016
buf,40890,TRUE,4,2,7,0.286,10,0,0,0,0,2,,2,,,,4,2,0,2,,,,2016
buf,40887,TRUE,6,1,7,0.143,20,0,0,0,0,15,9,18,5,,,48,2,0,3,0,2,1,2016
nyr,40887,FALSE,5,3,10,0.3,44,0,0,0,0,7,24,15,5,,,51,1,4,0,0,1,2,2016
ctw,40891,FALSE,1,0,4,0,8,0,0,0,0,10,7,10,,,,27,1,0,0,,,,2016
bos,40891,TRUE,4,2,4,0.5,8,0,0,0,0,17,22,10,,,,49,1,2,1,,,,2016
buf,40885,FALSE,3,0,10,0,14,0,0,0,0,9,14,14,,,,37,0,1,2,,,,2016
ctw,40885,TRUE,5,1,7,0.143,20,0,0,0,0,20,11,11,,,,42,3,0,2,,,,2016
nyr,40884,FALSE,1,0,3,0,10,0,0,0,0,9,13,7,,,,29,0,0,1,,,,2016
bos,40884,TRUE,8,1,5,0.2,6,0,0,0,0,4,24,11,,,,39,1,4,3,,,,2016
nyr,40881,FALSE,3,1,7,0.143,6,0,0,0,0,1,,2,,,,3,1,0,2,,,,2016
ctw,40881,TRUE,4,0,4,0,14,0,0,0,0,1,2,1,,,,4,1,2,1,,,,2016
ctw,40882,TRUE,6,1,5,0.2,27,0,0,0,0,11,13,9,,,,33,1,2,3,,,,2016
nyr,40882,FALSE,1,1,7,0.143,10,0,0,0,0,14,10,12,,,,36,0,0,1,,,,2016
buf,40883,TRUE,4,3,6,0.5,10,0,0,0,0,9,8,10,2,,,29,1,1,1,1,,,2016
bos,40883,FALSE,3,0,5,0,12,0,0,0,0,17,14,13,0,,,44,2,0,1,0,,,2016
bos,40880,TRUE,2,0,2,0,4,0,0,0,0,8,19,17,,,,44,1,0,1,,,,2016
ctw,40880,FALSE,1,1,2,0.5,4,0,0,0,0,8,13,13,,,,34,0,0,1,,,,2016
nyr,40879,TRUE,7,0,5,0,14,0,0,0,0,14,14,9,,,,37,2,3,2,,,,2016
buf,40879,FALSE,3,1,7,0.143,10,0,0,0,0,6,14,8,,,,28,1,1,1,,,,2016
buf,40877,FALSE,0,0,2,0,6,0,0,0,0,6,6,12,,,,24,0,0,0,,,,2016
bos,40877,TRUE,1,0,2,0,4,0,0,0,0,9,21,16,,,,46,0,1,0,,,,2016
ctw,40878,TRUE,4,0,7,0,6,0,0,0,0,9,15,20,3,,,48,0,0,3,0,1,2,2016
nyr,40878,FALSE,3,1,3,0.333,14,0,0,0,0,10,15,8,5,,,38,2,1,0,0,0,3,2016
buf,40876,FALSE,2,1,6,0.167,8,0,0,0,0,1,1,,,,,2,1,1,0,0,1,2,2016
ctw,40876,TRUE,3,1,4,0.25,25,0,0,0,0,,1,1,,,,3,0,1,1,0,3,0,2016
nyr,40874,FALSE,1,0,7,0,8,0,0,0,0,4,9,12,,,,25,0,0,1,,,,2016
bos,40874,TRUE,4,0,4,0,14,0,0,0,0,13,13,12,,,,38,0,0,4,,,,2016
buf,40875,FALSE,6,2,6,0.333,6,0,0,0,0,5,7,13,,,,25,2,1,3,,,,2016
bos,40875,TRUE,7,0,3,0,12,0,0,0,0,20,13,12,,,,45,5,1,1,,,,2016
buf,40870,TRUE,3,0,6,0,4,0,0,0,0,,,3,,,,3,0,0,3,,,,2016
nyr,40870,FALSE,1,0,2,0,12,0,0,0,0,,1,,,,,1,0,1,0,,,,2016
ctw,40872,TRUE,4,1,5,0.2,12,0,0,0,0,9,12,4,,,,25,2,2,0,,,,2016
bos,40872,FALSE,3,2,6,0.333,10,0,0,0,0,13,19,19,,,,51,0,1,2,,,,2016
ctw,40871,TRUE,7,4,6,0.667,14,0,0,0,0,5,1,,,,,7,5,1,0,0,1,2,2016
buf,40871,FALSE,6,3,7,0.429,15,0,0,0,0,1,5,,,,,6,1,5,0,0,0,3,2016
nyr,40873,TRUE,3,0,4,0,12,0,0,0,0,9,8,3,,,,20,3,0,0,,,,2016
bos,40873,FALSE,2,2,6,0.333,8,0,0,0,0,10,15,20,,,,45,1,1,0,,,,2016
bos,40867,FALSE,2,1,7,0.143,14,0,0,0,0,1,,1,,,,2,1,0,1,,,,2016
nyr,40867,TRUE,3,1,7,0.143,14,0,0,0,0,2,,1,,,,3,2,0,1,,,,2016
ctw,40868,TRUE,3,0,4,0,20,0,0,0,0,,2,1,,,,3,0,2,1,,,,2016
buf,40868,FALSE,2,0,10,0,8,0,0,0,0,,,2,,,,2,0,0,2,,,,2016
ctw,40864,TRUE,3,2,4,0.5,10,0,0,0,0,1,,2,,,,3,1,0,2,,,,2016
nyr,40864,FALSE,1,1,5,0.2,8,0,0,0,0,,1,,,,,1,0,1,0,,,,2016
bos,40869,TRUE,5,2,5,0.4,8,0,0,0,0,22,15,12,,,,49,1,2,2,,,,2016
buf,40869,FALSE,3,1,4,0.25,10,0,0,0,0,5,16,13,,,,34,0,2,1,,,,2016
bos,40865,TRUE,7,1,8,0.125,12,0,0,0,0,10,17,22,,,,49,2,1,4,,,,2016
nyr,40865,FALSE,1,0,6,0,16,0,0,0,0,9,14,2,,,,25,0,1,0,,,,2016
ctw,40866,TRUE,5,2,7,0.286,14,0,0,0,0,1,1,3,,,,5,1,1,3,,,,2016
buf,40866,FALSE,2,0,7,0,12,0,0,0,0,1,,1,,,,2,1,0,1,,,,2016
bos,40863,TRUE,4,1,1,1,10,0,0,0,0,18,13,18,,,,49,1,2,1,,,,2016
buf,40863,FALSE,1,1,5,0.2,2,0,0,0,0,6,20,9,,,,35,0,0,1,,,,2016
nyr,40862,FALSE,1,0,4,0,8,0,0,0,0,15,11,7,,,,33,0,1,0,,,,2016
ctw,40862,TRUE,4,0,4,0,8,0,0,0,0,9,10,11,,,,30,1,1,2,,,,2016
