game_id,link,game_type_abbreviation,season_full,game_date_time,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type,game_date,season,PBP,team_box,player_box
2022020088,/api/v1/game/2022020088/feed/live,R,20222023,2022-10-23T21:00:00Z,Final,7,Final,7,FALSE,1,24,Anaheim Ducks,/api/v1/teams/24,5,17,Detroit Red Wings,/api/v1/teams/17,Little Caesars Arena,/api/v1/venues/5145,5145,/api/v1/game/2022020088/content,REG,2022-10-23,2023,TRUE,TRUE,TRUE
2022020089,/api/v1/game/2022020089/feed/live,R,20222023,2022-10-23T21:00:00Z,Final,7,Final,7,FALSE,5,29,Columbus Blue Jackets,/api/v1/teams/29,1,3,New York Rangers,/api/v1/teams/3,Madison Square Garden,/api/v1/venues/5054,5054,/api/v1/game/2022020089/content,REG,2022-10-23,2023,TRUE,TRUE,TRUE
2022020090,/api/v1/game/2022020090/feed/live,R,20222023,2022-10-23T21:00:00Z,Final,7,Final,7,FALSE,2,2,New York Islanders,/api/v1/teams/2,3,13,Florida Panthers,/api/v1/teams/13,FLA Live Arena,/api/v1/venues/5027,5027,/api/v1/game/2022020090/content,REG,2022-10-23,2023,TRUE,TRUE,TRUE
2022020091,/api/v1/game/2022020091/feed/live,R,20222023,2022-10-23T23:00:00Z,Final,7,Final,7,FALSE,3,28,San Jose Sharks,/api/v1/teams/28,0,4,Philadelphia Flyers,/api/v1/teams/4,Wells Fargo Center,/api/v1/venues/5096,5096,/api/v1/game/2022020091/content,REG,2022-10-23,2023,TRUE,TRUE,TRUE
2022020072,/api/v1/game/2022020072/feed/live,R,20222023,2022-10-22T00:30:00Z,Final,7,Final,7,FALSE,3,17,Detroit Red Wings,/api/v1/teams/17,4,16,Chicago Blackhawks,/api/v1/teams/16,United Center,/api/v1/venues/5092,5092,/api/v1/game/2022020072/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020073,/api/v1/game/2022020073/feed/live,R,20222023,2022-10-22T01:00:00Z,Final,7,Final,7,FALSE,3,55,Seattle Kraken,/api/v1/teams/55,2,21,Colorado Avalanche,/api/v1/teams/21,Ball Arena,/api/v1/venues/5064,5064,/api/v1/game/2022020073/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020074,/api/v1/game/2022020074/feed/live,R,20222023,2022-10-22T17:00:00Z,Final,7,Final,7,FALSE,3,30,Minnesota Wild,/api/v1/teams/30,4,6,Boston Bruins,/api/v1/teams/6,TD Garden,/api/v1/venues/5085,5085,/api/v1/game/2022020074/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020075,/api/v1/game/2022020075/feed/live,R,20222023,2022-10-22T17:00:00Z,Final,7,Final,7,FALSE,1,28,San Jose Sharks,/api/v1/teams/28,2,1,New Jersey Devils,/api/v1/teams/1,Prudential Center,/api/v1/venues/null,,/api/v1/game/2022020075/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020077,/api/v1/game/2022020077/feed/live,R,20222023,2022-10-22T20:00:00Z,Final,7,Final,7,FALSE,2,19,St. Louis Blues,/api/v1/teams/19,0,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2022020077/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020076,/api/v1/game/2022020076/feed/live,R,20222023,2022-10-22T20:00:00Z,Final,7,Final,7,FALSE,2,53,Arizona Coyotes,/api/v1/teams/53,6,9,Ottawa Senators,/api/v1/teams/9,Canadian Tire Centre,/api/v1/venues/5031,5031,/api/v1/game/2022020076/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020082,/api/v1/game/2022020082/feed/live,R,20222023,2022-10-22T23:00:00Z,Final,7,Final,7,FALSE,4,10,Toronto Maple Leafs,/api/v1/teams/10,1,52,Winnipeg Jets,/api/v1/teams/52,Canada Life Centre,/api/v1/venues/5058,5058,/api/v1/game/2022020082/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020078,/api/v1/game/2022020078/feed/live,R,20222023,2022-10-22T23:00:00Z,Final,7,Final,7,FALSE,5,25,Dallas Stars,/api/v1/teams/25,2,8,Montréal Canadiens,/api/v1/teams/8,Centre Bell,/api/v1/venues/null,,/api/v1/game/2022020078/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020079,/api/v1/game/2022020079/feed/live,R,20222023,2022-10-22T23:00:00Z,Final,7,Final,7,FALSE,3,26,Los Angeles Kings,/api/v1/teams/26,4,15,Washington Capitals,/api/v1/teams/15,Capital One Arena,/api/v1/venues/5094,5094,/api/v1/game/2022020079/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020080,/api/v1/game/2022020080/feed/live,R,20222023,2022-10-22T23:00:00Z,Final,7,Final,7,FALSE,3,2,New York Islanders,/api/v1/teams/2,5,14,Tampa Bay Lightning,/api/v1/teams/14,Amalie Arena,/api/v1/venues/5017,5017,/api/v1/game/2022020080/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020081,/api/v1/game/2022020081/feed/live,R,20222023,2022-10-22T23:00:00Z,Final,7,Final,7,FALSE,6,5,Pittsburgh Penguins,/api/v1/teams/5,3,29,Columbus Blue Jackets,/api/v1/teams/29,Nationwide Arena,/api/v1/venues/5059,5059,/api/v1/game/2022020081/content,REG,2022-10-22,2023,TRUE,TRUE,TRUE
2022020067,/api/v1/game/2022020067/feed/live,R,20222023,2022-10-21T00:00:00Z,Final,7,Final,7,FALSE,3,23,Vancouver Canucks,/api/v1/teams/23,4,30,Minnesota Wild,/api/v1/teams/30,Xcel Energy Center,/api/v1/venues/5098,5098,/api/v1/game/2022020067/content,REG,2022-10-21,2023,TRUE,TRUE,TRUE
