game_id,link,game_type_abbreviation,season_full,game_date,status_abstract_game_state,status_coded_game_state,status_detailed_state,status_status_code,status_start_time_tbd,away_score,away_team_id,away_team_name,away_team_link,home_score,home_team_id,home_team_name,home_team_link,venue_name,venue_link,venue_id,content_link,game_type
2016021003,/api/v1/game/2016021003/feed/live,R,20162017,2017-03-12T00:00:00Z,Final,7,Final,7,FALSE,2,13,Florida Panthers,/api/v1/teams/13,3,14,Tampa Bay Lightning,/api/v1/teams/14,Amalie Arena,/api/v1/venues/5017,5017,/api/v1/game/2016021003/content,REG
2016021004,/api/v1/game/2016021004/feed/live,R,20162017,2017-03-12T00:00:00Z,Final,7,Final,7,FALSE,3,10,Toronto Maple Leafs,/api/v1/teams/10,2,12,Carolina Hurricanes,/api/v1/teams/12,PNC Arena,/api/v1/venues/5066,5066,/api/v1/game/2016021004/content,REG
2016021008,/api/v1/game/2016021008/feed/live,R,20162017,2017-03-12T01:00:00Z,Final,7,Final,7,FALSE,4,1,New Jersey Devils,/api/v1/teams/1,5,53,Arizona Coyotes,/api/v1/teams/53,Gila River Arena,/api/v1/venues/5043,5043,/api/v1/game/2016021008/content,REG
2016021007,/api/v1/game/2016021007/feed/live,R,20162017,2017-03-12T01:00:00Z,Final,7,Final,7,FALSE,3,2,New York Islanders,/api/v1/teams/2,4,19,St. Louis Blues,/api/v1/teams/19,Scottrade Center,/api/v1/venues/null,,/api/v1/game/2016021007/content,REG
2016021009,/api/v1/game/2016021009/feed/live,R,20162017,2017-03-12T03:00:00Z,Final,7,Final,7,FALSE,3,5,Pittsburgh Penguins,/api/v1/teams/5,0,23,Vancouver Canucks,/api/v1/teams/23,Rogers Arena,/api/v1/venues/5073,5073,/api/v1/game/2016021009/content,REG
2016021010,/api/v1/game/2016021010/feed/live,R,20162017,2017-03-12T03:30:00Z,Final,7,Final,7,FALSE,2,15,Washington Capitals,/api/v1/teams/15,4,26,Los Angeles Kings,/api/v1/teams/26,STAPLES Center,/api/v1/venues/5081,5081,/api/v1/game/2016021010/content,REG
2016021012,/api/v1/game/2016021012/feed/live,R,20162017,2017-03-12T16:30:00Z,Final,7,Final,7,FALSE,2,30,Minnesota Wild,/api/v1/teams/30,4,16,Chicago Blackhawks,/api/v1/teams/16,United Center,/api/v1/venues/5092,5092,/api/v1/game/2016021012/content,REG
2016021013,/api/v1/game/2016021013/feed/live,R,20162017,2017-03-12T23:00:00Z,Final,7,Final,7,FALSE,4,8,Montréal Canadiens,/api/v1/teams/8,1,22,Edmonton Oilers,/api/v1/teams/22,Rogers Place,/api/v1/venues/5100,5100,/api/v1/game/2016021013/content,REG
2016021011,/api/v1/game/2016021011/feed/live,R,20162017,2017-03-12T23:00:00Z,Final,7,Final,7,FALSE,4,3,New York Rangers,/api/v1/teams/3,1,17,Detroit Red Wings,/api/v1/teams/17,Joe Louis Arena,/api/v1/venues/5047,5047,/api/v1/game/2016021011/content,REG
2016021014,/api/v1/game/2016021014/feed/live,R,20162017,2017-03-13T01:30:00Z,Final,7,Final,7,FALSE,2,15,Washington Capitals,/api/v1/teams/15,5,24,Anaheim Ducks,/api/v1/teams/24,Honda Center,/api/v1/venues/5046,5046,/api/v1/game/2016021014/content,REG
